Date,Open,High,Low,Close,Adj Close,Volume,Adj Close_15,true_Adj Close_15,buy_profit,sell_profit
2015-05-05,15.850666999816895,15.966667175292969,15.275333404541016,15.529999732971191,15.529999732971191,86953500,15.880598,16.495332717895508,0.9653329849243164,0.0
2015-05-18,16.46666717529297,16.65999984741211,16.399999618530273,16.583332061767578,16.583332061767578,50298000,16.699076,17.066667556762695,0.4833354949951172,0.0
2015-05-19,16.562000274658203,16.733333587646484,16.40999984741211,16.47599983215332,16.47599983215332,55113000,16.752516,16.713333129882812,0.2373332977294922,0.0
2015-05-20,16.475332260131836,16.516000747680664,16.091333389282227,16.290000915527344,16.290000915527344,56334000,16.718855,16.76066780090332,0.47066688537597656,0.0
2015-05-26,16.511999130249023,16.799999237060547,16.433332443237305,16.497333526611328,16.497333526611328,52480500,16.595198,16.874666213989258,0.3773326873779297,0.0
2015-05-27,16.567333221435547,16.633333206176758,16.3700008392334,16.495332717895508,16.495332717895508,51123000,16.546814,17.360666275024414,0.8653335571289062,0.0
2015-06-10,16.793333053588867,16.933332443237305,16.566667556762695,16.713333129882812,16.713333129882812,51817500,16.44379,17.94333267211914,0.0,-1.2299995422363281
2015-06-11,16.884000778198242,16.95800018310547,16.69533348083496,16.76066780090332,16.76066780090332,30661500,16.454865,18.667999267578125,0.0,-1.9073314666748047
2015-06-18,17.46666717529297,17.56399917602539,17.334667205810547,17.459333419799805,17.459333419799805,41740500,16.568735,17.27666664123535,0.0,0.18266677856445312
2015-06-19,17.49333381652832,17.586666107177734,17.34000015258789,17.500667572021484,17.500667572021484,36945000,16.725058,17.477333068847656,0.0,0.023334503173828125
2015-06-22,17.476667404174805,17.626667022705078,17.04599952697754,17.319332122802734,17.319332122802734,68416500,16.803782,17.709999084472656,0.0,-0.3906669616699219
2015-06-23,17.35466766357422,17.866666793823242,17.238000869750977,17.844667434692383,17.844667434692383,58062000,16.931032,17.542667388916016,0.0,0.3020000457763672
2015-07-06,18.591999053955078,18.779333114624023,18.420000076293945,18.648000717163086,18.648000717163086,61828500,17.770933,16.867332458496094,0.0,1.7806682586669922
2015-07-14,17.47333335876465,17.732667922973633,17.367332458496094,17.709999084472656,17.709999084472656,28614000,17.182169,17.75200080871582,0.0,-0.04200172424316406
2015-07-30,17.512666702270508,17.79599952697754,17.474000930786133,17.785999298095703,17.785999298095703,30519000,17.198742,16.14533233642578,0.0,1.6406669616699219
