Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2017-01-03,14.324000358581543,14.688667297363281,14.064000129699707,14.465999603271484,14.465999603271484,88849500,0
2017-01-04,14.316666603088379,15.199999809265137,14.287332534790039,15.13266658782959,15.13266658782959,168202500,2
2017-01-05,15.094667434692383,15.165332794189453,14.796667098999023,15.116666793823242,15.116666793823242,88675500,2
2017-01-06,15.128666877746582,15.354000091552734,15.029999732971191,15.267333030700684,15.267333030700684,82918500,4
2017-01-09,15.264666557312012,15.461333274841309,15.199999809265137,15.41866683959961,15.41866683959961,59692500,4
2017-01-10,15.466667175292969,15.466667175292969,15.12600040435791,15.324666976928711,15.324666976928711,54900000,4
2017-01-11,15.271332740783691,15.331999778747559,15.112000465393066,15.315333366394043,15.315333366394043,54762000,2
2017-01-12,15.27066707611084,15.380000114440918,15.038666725158691,15.305999755859375,15.305999755859375,56853000,4
2017-01-13,15.333333015441895,15.856666564941406,15.305999755859375,15.850000381469727,15.850000381469727,91395000,4
2017-01-17,15.779999732971191,15.997332572937012,15.624667167663574,15.70533275604248,15.70533275604248,69262500,4
2017-01-18,15.776666641235352,15.980667114257812,15.70533275604248,15.890666961669922,15.890666961669922,56535000,4
2017-01-19,16.483333587646484,16.57866668701172,16.049999237060547,16.250667572021484,16.250667572021484,115984500,0
2017-01-20,16.36400032043457,16.399999618530273,16.200666427612305,16.315332412719727,16.315332412719727,63064500,0
2017-01-23,16.389999389648438,16.72599983215332,16.366666793823242,16.594667434692383,16.594667434692383,93943500,4
2017-01-24,16.666667938232422,16.98666763305664,16.643333435058594,16.974000930786133,16.974000930786133,74482500,2
2017-01-25,17.15399932861328,17.230667114257812,16.786666870117188,16.96466636657715,16.96466636657715,77139000,2
2017-01-26,16.952667236328125,17.049333572387695,16.71666717529297,16.833999633789062,16.833999633789062,47281500,4
2017-01-27,16.7586669921875,16.866666793823242,16.56800079345703,16.863332748413086,16.863332748413086,47494500,4
2017-01-30,16.8353328704834,17.019332885742188,16.47333335876465,16.708667755126953,16.708667755126953,57016500,4
2017-01-31,16.615999221801758,17.05933380126953,16.51333236694336,16.795333862304688,16.795333862304688,61741500,2
2017-02-01,16.8700008392334,16.8799991607666,16.60333251953125,16.615999221801758,16.615999221801758,59382000,2
2017-02-02,16.555999755859375,16.827999114990234,16.513999938964844,16.770000457763672,16.770000457763672,37497000,4
2017-02-03,16.79400062561035,16.812000274658203,16.64533233642578,16.755332946777344,16.755332946777344,32800500,4
2017-02-06,16.733333587646484,17.187999725341797,16.708667755126953,17.184667587280273,17.184667587280273,53437500,4
2017-02-07,17.21266746520996,17.333332061767578,17.094667434692383,17.165332794189453,17.165332794189453,63672000,2
2017-02-08,17.156667709350586,17.55733299255371,17.079999923706055,17.472000122070312,17.472000122070312,58995000,4
2017-02-09,17.75,18.07866668701172,17.74333381652832,17.946666717529297,17.946666717529297,117303000,2
2017-02-10,17.986000061035156,18.06333351135254,17.74066734313965,17.948667526245117,17.948667526245117,54295500,0
2017-02-13,18.049333572387695,18.71933364868164,18.034000396728516,18.706666946411133,18.706666946411133,105444000,4
2017-02-14,18.601999282836914,19.159332275390625,18.573999404907227,18.73200035095215,18.73200035095215,110178000,4
2017-02-15,18.666667938232422,18.81599998474121,18.429332733154297,18.650667190551758,18.650667190551758,74218500,4
2017-02-16,18.50666618347168,18.666667938232422,17.899999618530273,17.93000030517578,17.93000030517578,106159500,2
2017-02-17,17.719999313354492,18.19266700744629,17.610000610351562,18.148666381835938,18.148666381835938,93856500,4
2017-02-21,18.363332748413086,18.760000228881836,18.267332077026367,18.492666244506836,18.492666244506836,85150500,2
2017-02-22,18.687332153320312,18.89666748046875,18.17333221435547,18.233999252319336,18.233999252319336,131325000,2
2017-02-23,17.600000381469727,17.643999099731445,17.03733253479004,17.06599998474121,17.06599998474121,223728000,4
2017-02-24,16.8439998626709,17.21666717529297,16.68000030517578,17.133333206176758,17.133333206176758,122574000,4
2017-02-27,16.544666290283203,16.55733299255371,16.134000778198242,16.415332794189453,16.415332794189453,171912000,2
2017-02-28,16.279333114624023,16.733333587646484,16.260000228881836,16.666000366210938,16.666000366210938,91171500,0
2017-03-01,16.94533348083496,16.989999771118164,16.607332229614258,16.667999267578125,16.667999267578125,72142500,0
